[2019-11-24 08:44:44.1036][Info] Setup Success... 
[2019-11-24 08:44:44.2136][Info] Start Success... 
[2019-11-24 08:44:44.2136][Info] Server Listen at 11688 
[2019-11-24 08:45:39.2997][Info] New Session Connected:287af079-b636-4ff5-8c04-cadbfa10aed4, Path:/lcj%E6%8E%A7%E5%88%B6%E5%8F%B0, Host:10.104.6.73:11688, IP:10.104.6.73:8959 
[2019-11-24 08:45:53.8276][Info] Receive:你好吗 ClientIP:10.104.6.73:8959 
[2019-11-24 09:10:57.0876][Info] Session Close:ClientClosing, Path:/lcj%E6%8E%A7%E5%88%B6%E5%8F%B0, IP:10.104.6.73:8959 
[2019-11-24 09:42:20.9873][Info] Setup Success... 
[2019-11-24 09:42:21.0823][Info] Start Success... 
[2019-11-24 09:42:21.0823][Info] Server Listen at 11688 
[2019-11-24 09:43:52.8066][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:9914 
[2019-11-24 09:44:22.8143][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:9921 
[2019-11-24 09:44:52.8260][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:9932 
[2019-11-24 09:45:22.8377][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:9939 
[2019-11-24 10:10:42.7366][Info] New Session Connected:c532ddb3-ae44-4999-8794-c8c6764d5dae, Path:/lcj%E6%8E%A7%E5%88%B6%E5%8F%B0, Host:10.104.6.73:11688, IP:10.104.6.73:10498 
[2019-11-24 10:11:10.2332][Info] Receive:你好呀，现在开始提交说明 ClientIP:10.104.6.73:10498 
[2019-11-24 16:14:23.7157][Info] Setup Success... 
[2019-11-24 16:14:23.8177][Info] Start Success... 
[2019-11-24 16:14:23.8177][Info] Server Listen at 11688 
[2019-11-24 16:15:14.1166][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:20696 
[2019-11-24 16:15:16.9888][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:20698 
[2019-11-24 16:15:20.9300][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:20700 
[2019-11-24 16:15:23.1851][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:20701 
[2019-11-24 16:15:25.6633][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:20703 
[2019-11-24 16:15:29.9995][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:20705 
[2019-11-24 16:15:32.4597][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:20706 
[2019-11-24 16:15:34.3248][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:20707 
[2019-11-24 16:15:38.5040][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:20709 
[2019-11-24 16:15:41.6422][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:20714 
[2019-11-24 16:15:43.4883][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:20716 
[2019-11-24 16:15:48.2006][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:20718 
[2019-11-24 16:15:52.5748][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:20720 
[2019-11-24 16:15:57.2331][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:20722 
[2019-11-24 16:16:01.2923][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:20724 
[2019-11-24 16:16:04.0425][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:20726 
[2019-11-24 16:16:07.6527][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:20730 
[2019-11-24 16:16:10.9229][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:20736 
[2019-11-24 16:16:13.2960][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:20738 
[2019-11-24 16:16:15.3011][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:20740 
[2019-11-24 16:16:17.0172][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:20741 
[2019-11-24 16:16:20.4864][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:20745 
[2019-11-24 16:16:24.6697][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:20748 
[2019-11-24 16:16:28.5089][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:20753 
[2019-11-24 16:16:30.2640][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:20755 
[2019-11-24 16:16:31.6971][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:20756 
[2019-11-24 16:16:35.5413][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:20758 
[2019-11-24 16:16:39.8585][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:20760 
[2019-11-24 16:16:44.2678][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:20762 
[2019-11-24 16:16:46.8879][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:20764 
[2019-11-24 16:16:51.4412][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:20766 
[2019-11-24 16:16:56.0194][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:20768 
[2019-11-24 16:16:59.0106][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:20770 
[2019-11-24 16:17:03.7899][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:20771 
[2019-11-24 16:17:07.2291][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:20773 
[2019-11-24 16:17:12.1204][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:20775 
[2019-11-24 16:17:13.2354][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:20776 
[2019-11-24 16:17:17.2237][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:20778 
[2019-11-24 16:17:21.2119][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:20780 
[2019-11-24 16:17:25.0541][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:20782 
[2019-11-24 16:17:28.1553][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:20783 
[2019-11-24 16:17:29.5774][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:20785 
[2019-11-24 16:17:34.4456][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:20787 
[2019-11-24 16:17:37.4138][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:20789 
[2019-11-24 16:17:40.9350][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:20793 
[2019-11-24 16:17:43.5992][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:20794 
[2019-11-24 16:17:44.9612][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:20796 
[2019-11-24 16:17:47.5574][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:20797 
[2019-11-24 16:17:51.3146][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:20799 
[2019-11-24 16:17:52.3867][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:20800 
[2019-11-24 16:17:53.6347][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:20801 
[2019-11-24 16:17:55.4708][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:20803 
[2019-11-24 16:17:57.0579][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:20804 
[2019-11-24 16:17:58.7190][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:20805 
[2019-11-24 16:18:02.6563][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:20807 
[2019-11-24 16:45:45.0703][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21357 
[2019-11-24 16:45:45.1213][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21358 
[2019-11-24 16:45:45.1363][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21359 
[2019-11-24 16:45:45.1513][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21360 
[2019-11-24 16:45:45.1663][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21361 
[2019-11-24 16:45:45.1813][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21362 
[2019-11-24 16:45:45.1964][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21363 
[2019-11-24 16:45:45.2124][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21364 
[2019-11-24 16:45:45.2314][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21365 
[2019-11-24 16:45:45.2484][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21366 
[2019-11-24 16:45:45.2894][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21367 
[2019-11-24 16:45:45.3324][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21368 
[2019-11-24 16:45:45.6064][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21369 
[2019-11-24 16:45:46.1364][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21371 
[2019-11-24 16:45:47.1645][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21372 
[2019-11-24 16:45:47.9035][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21373 
[2019-11-24 16:45:52.3478][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21375 
[2019-11-24 16:45:56.5340][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21377 
[2019-11-24 16:45:59.1611][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21378 
[2019-11-24 16:46:03.5474][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21380 
[2019-11-24 16:46:05.6825][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21381 
[2019-11-24 16:46:07.1536][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21383 
[2019-11-24 16:46:10.8568][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21385 
[2019-11-24 16:46:12.4469][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21386 
[2019-11-24 16:46:14.6890][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21387 
[2019-11-24 16:46:18.5903][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21389 
[2019-11-24 16:46:22.1625][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21391 
[2019-11-24 16:46:24.6066][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21392 
[2019-11-24 16:46:28.4878][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21395 
[2019-11-24 16:46:31.9010][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21397 
[2019-11-24 16:46:35.9683][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21398 
[2019-11-24 16:46:39.1234][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21401 
[2019-11-24 16:46:42.0026][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21403 
[2019-11-24 16:46:45.1588][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21404 
[2019-11-24 16:46:49.2630][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21406 
[2019-11-24 16:46:50.6681][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21408 
[2019-11-24 16:46:52.6912][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21409 
[2019-11-24 16:46:56.9125][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21411 
[2019-11-24 16:47:01.5257][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21413 
[2019-11-24 16:47:04.2779][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21419 
[2019-11-24 16:47:07.8331][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21425 
[2019-11-24 16:47:09.9802][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21426 
[2019-11-24 16:47:12.8894][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21428 
[2019-11-24 16:47:14.5425][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21429 
[2019-11-24 16:47:15.9745][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21430 
[2019-11-24 16:47:19.3287][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21432 
[2019-11-24 16:47:21.6859][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21434 
[2019-11-24 16:47:25.2131][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21435 
[2019-11-24 16:47:27.5862][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21437 
[2019-11-24 16:47:30.3874][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21443 
[2019-11-24 16:47:32.7235][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21444 
[2019-11-24 16:47:36.1047][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21445 
[2019-11-24 16:47:39.9629][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21447 
[2019-11-24 16:47:42.6431][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21449 
[2019-11-24 16:47:46.0583][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21450 
[2019-11-24 16:47:50.8245][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21453 
[2019-11-24 16:47:52.6446][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21454 
[2019-11-24 16:47:55.3828][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21455 
[2019-11-24 16:47:57.4929][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21457 
[2019-11-24 16:48:00.5861][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21460 
[2019-11-24 16:48:01.6912][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21461 
[2019-11-24 16:48:03.6863][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21462 
[2019-11-24 16:48:08.0975][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21464 
[2019-11-24 16:48:12.0477][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21470 
[2019-11-24 16:48:16.2290][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21473 
[2019-11-24 16:48:20.3552][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21478 
[2019-11-24 16:48:21.6403][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21492 
[2019-11-24 16:48:26.2666][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21514 
[2019-11-24 16:48:31.1978][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21519 
[2019-11-24 16:48:32.6799][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21520 
[2019-11-24 16:48:33.9880][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21521 
[2019-11-24 16:48:37.5302][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21523 
[2019-11-24 16:48:41.1714][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21525 
[2019-11-24 16:48:43.0175][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21526 
[2019-11-24 16:48:47.7218][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21528 
[2019-11-24 16:48:50.7640][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21530 
[2019-11-24 16:48:54.9512][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21531 
[2019-11-24 16:48:59.0134][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21533 
[2019-11-24 16:49:02.6496][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21535 
[2019-11-24 16:49:06.4859][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21537 
[2019-11-24 16:49:11.0331][Info] Session Close:ClientClosing, Path:, IP:10.104.6.73:21542 
